,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
243,0.886,43.824,9.389,5.241,10.259,6.149,13.831,0.2,2.989,1.981,26.446,0.4,2.862,3.074,3.65,2.777,2.284,2.489,9.296,10.634,9.789,9.766,0.235,0.201,9.792,0.56,2.678,1.084,0.76,5.0,3.069,0.045,0.052,0.026,0.014,0.042
244,1.136,79.025,18.41,6.138,23.395,21.309,29.586,0.06,0.408,1.367,47.728,0.2,2.637,12.364,8.325,4.129,0.691,0.991,8.906,10.435,9.974,10.008,0.216,0.115,9.976,0.46,11.686,-2.754,0.707,0.6,3.146,0.029,0.022,0.054,0.045,0.031
245,4.956,71.391,17.896,11.13,15.409,11.571,23.515,0.24,2.797,1.891,36.786,0.2,2.754,5.397,5.377,4.274,1.83,4.515,9.555,10.797,10.1,10.116,0.24,0.301,10.103,0.56,0.367,0.18,0.717,4.0,3.041,0.031,0.024,0.042,0.026,0.014
246,1.065,9.664,4.376,3.681,2.309,3.452,4.938,0.32,-0.476,0.723,6.685,1.6,2.978,0.43,0.445,0.344,0.333,0.105,9.862,10.267,10.033,10.025,0.096,0.138,10.034,0.54,-0.254,0.272,0.288,1.4,3.061,0.01,0.019,0.01,0.01,0.009
247,0.575,37.318,5.624,3.161,7.652,2.274,9.435,0.12,7.687,2.861,21.009,0.2,2.952,2.607,2.281,2.271,1.699,1.34,9.84,11.285,10.155,10.14,0.2,0.117,10.157,0.46,18.643,3.583,0.672,0.2,3.149,0.044,0.021,0.026,0.017,0.028
248,0.266,21.678,7.268,5.907,4.635,6.968,8.595,0.22,0.472,0.942,13.183,0.4,2.977,0.528,1.639,0.618,0.977,0.95,9.804,10.397,10.153,10.154,0.124,0.157,10.154,0.52,0.451,-0.584,0.394,3.8,3.104,0.023,0.013,0.01,0.018,0.017
249,1.179,80.538,22.783,11.645,25.914,25.051,34.31,0.14,-0.18,1.142,52.924,0.2,2.617,13.434,8.567,6.336,0.589,1.391,9.292,10.713,10.098,10.097,0.251,0.213,10.101,0.58,2.048,-0.539,0.772,4.4,3.063,0.033,0.026,0.03,0.026,0.024
250,2.665,85.664,19.667,15.202,17.093,13.395,25.945,0.32,3.854,1.954,50.05,0.2,3.011,5.305,1.611,4.572,4.258,3.795,8.059,11.63,10.066,10.035,0.501,0.407,10.078,0.44,5.33,-0.302,1.578,0.4,3.087,0.045,0.144,0.051,0.002,0.036
251,0.682,11.466,4.513,3.818,2.671,3.583,5.23,0.26,-0.273,0.822,8.05,1.6,3.042,0.345,0.133,0.434,0.384,0.402,9.863,10.295,10.09,10.091,0.101,0.137,10.091,0.3,-0.566,-0.128,0.295,1.0,3.013,0.023,0.012,0.026,0.012,0.038
252,0.279,102.173,26.495,11.748,29.805,35.954,39.655,0.1,0.77,1.343,67.254,0.4,2.687,7.846,12.149,7.788,9.717,1.748,8.772,10.824,10.062,10.098,0.325,0.309,10.067,0.52,4.108,-1.226,1.051,5.0,3.084,0.035,0.038,0.05,0.021,0.049
253,1.649,154.217,22.355,9.816,31.308,19.683,38.214,0.12,7.189,2.71,72.586,0.4,2.684,8.911,12.83,8.952,7.267,5.193,9.181,11.333,10.206,10.174,0.419,0.423,10.214,0.62,0.714,0.195,1.268,4.4,3.013,0.065,0.061,0.006,0.026,0.04
254,2.851,82.778,24.786,15.832,20.21,28.272,31.853,0.18,0.342,1.136,56.838,0.6,2.98,0.535,2.294,8.224,5.709,1.243,8.068,12.065,9.95,9.994,0.623,0.66,9.969,0.36,2.396,0.303,2.004,5.0,3.055,0.1,0.048,0.068,0.111,0.013
255,2.815,83.195,30.153,24.19,21.347,33.56,36.82,0.26,-0.237,0.779,55.256,0.6,2.901,3.467,3.145,10.299,0.758,2.409,9.3,10.956,10.07,10.084,0.322,0.398,10.075,0.48,0.251,0.235,0.985,0.4,3.05,0.021,0.091,0.022,0.028,0.023
256,0.591,9.276,3.851,3.961,1.939,2.276,4.302,0.38,0.287,0.583,5.615,1.6,2.993,0.303,0.267,0.345,0.5,0.1,9.967,10.371,10.132,10.126,0.091,0.108,10.132,0.52,0.033,0.397,0.272,0.4,3.009,0.001,0.026,0.004,0.009,0.009
257,1.159,151.599,26.829,15.58,32.214,28.243,41.675,0.2,3.777,1.98,85.154,0.2,2.921,15.026,3.716,2.778,5.027,4.725,8.277,12.021,10.133,10.13,0.451,0.316,10.143,0.52,9.631,0.02,1.529,5.0,3.138,0.043,0.005,0.04,0.062,0.087
258,1.745,100.899,29.08,24.251,23.513,31.023,37.248,0.26,0.954,1.154,60.982,0.8,2.883,6.523,2.199,4.91,9.427,1.819,8.965,11.09,10.047,10.073,0.42,0.457,10.056,0.48,0.443,-0.523,1.291,1.6,3.057,0.043,0.017,0.037,0.082,0.018
259,0.991,101.834,24.232,13.703,24.01,28.414,33.944,0.22,1.642,1.508,65.309,0.2,2.952,9.584,4.607,2.669,7.012,6.166,9.011,11.521,10.095,10.093,0.454,0.459,10.105,0.58,1.539,0.683,1.378,3.0,3.035,0.016,0.051,0.015,0.04,0.09
260,0.714,77.296,16.081,7.836,16.9,13.98,23.206,0.2,2.765,1.763,40.596,0.4,2.813,5.751,7.572,4.109,2.241,2.607,9.357,11.036,10.095,10.12,0.3,0.284,10.099,0.48,2.243,0.5,0.958,2.8,3.091,0.03,0.033,0.064,0.019,0.022
262,2.504,59.004,21.505,16.477,14.627,18.166,25.926,0.22,-0.104,0.897,42.953,0.2,3.019,5.133,3.159,3.425,2.854,2.219,9.109,11.435,10.105,10.07,0.405,0.457,10.113,0.56,1.565,0.74,1.18,4.0,3.0,0.026,0.072,0.009,0.008,0.04
263,1.625,97.959,12.123,7.395,16.377,5.844,20.244,0.16,15.274,3.72,50.662,0.6,3.075,3.666,4.294,4.625,2.931,3.988,9.497,10.857,10.054,10.023,0.28,0.2,10.058,0.54,2.006,1.168,0.845,2.6,3.052,0.027,0.033,0.052,0.009,0.033
264,2.05,221.564,54.973,36.62,48.422,52.242,72.937,0.28,2.619,1.665,148.992,0.2,3.076,17.274,8.844,4.221,8.503,6.463,7.94,15.058,10.073,9.86,1.163,0.748,10.139,0.46,6.568,1.93,3.594,2.8,3.068,0.121,0.104,0.096,0.081,0.224
265,2.723,101.711,31.609,27.047,24.238,31.286,39.684,0.32,1.172,1.156,64.275,0.6,2.885,5.652,5.973,8.436,3.299,7.607,8.858,11.384,10.187,10.184,0.454,0.36,10.197,0.48,1.666,-0.099,1.397,2.4,3.062,0.014,0.03,0.053,0.048,0.04
266,0.939,91.276,6.569,2.639,13.838,2.5,15.192,0.02,26.552,4.91,44.285,0.2,3.128,4.06,3.592,2.917,2.011,1.211,9.7,11.156,10.151,10.117,0.213,0.117,10.153,0.46,11.457,2.946,0.629,1.6,2.991,0.04,0.032,0.039,0.047,0.04
267,2.602,154.925,37.943,27.976,34.819,49.121,51.262,0.24,1.254,1.225,97.7,0.2,3.012,15.276,4.703,9.726,5.722,6.672,9.225,11.728,10.198,10.207,0.478,0.351,10.209,0.44,1.909,0.811,1.596,5.0,3.122,0.042,0.034,0.091,0.058,0.089
268,0.684,118.725,17.73,5.645,25.829,14.881,31.115,0.1,3.802,2.083,64.982,0.2,2.846,11.305,6.855,1.768,3.077,5.632,9.556,10.713,10.07,10.086,0.206,0.172,10.072,0.46,1.39,0.184,0.663,2.2,3.091,0.025,0.021,0.011,0.008,0.021
269,1.292,48.635,9.522,6.017,10.454,4.552,14.063,0.1,5.511,2.442,25.024,0.4,2.72,3.339,3.623,3.194,2.77,1.715,9.571,10.505,10.122,10.116,0.162,0.199,10.123,0.5,1.561,-0.434,0.524,3.8,3.133,0.018,0.027,0.015,0.024,0.012
270,0.286,95.388,13.037,6.143,20.118,10.991,23.803,0.16,6.675,2.68,50.099,0.2,2.808,8.346,6.156,4.792,3.757,3.589,9.407,10.959,10.131,10.139,0.236,0.18,10.134,0.58,3.843,0.212,0.718,1.4,3.051,0.018,0.044,0.029,0.022,0.043
271,4.365,58.736,22.37,19.928,13.418,14.942,26.017,0.36,0.393,1.029,38.317,1.8,2.983,3.339,1.546,0.534,3.666,2.209,9.234,11.519,10.096,10.066,0.372,0.39,10.103,0.58,3.176,0.661,1.22,4.0,3.124,0.051,0.032,0.049,0.032,0.034
272,0.97,28.853,6.455,5.706,4.941,4.107,8.099,0.3,7.751,2.417,14.475,0.4,3.008,1.182,1.602,1.151,1.16,0.383,9.639,10.357,9.993,9.977,0.16,0.225,9.994,0.66,-0.206,0.36,0.489,3.6,3.041,0.005,0.022,0.012,0.032,0.013
273,1.272,162.867,23.044,7.841,35.837,14.645,42.304,0.06,5.815,2.526,79.799,0.2,2.655,14.56,10.91,11.137,9.581,5.572,9.184,10.757,10.13,10.158,0.275,0.283,10.134,0.42,2.989,-1.064,0.885,1.2,3.123,0.028,0.022,0.037,0.027,0.032
274,0.811,73.797,19.356,6.566,22.817,23.082,29.747,0.04,-0.326,1.126,38.804,0.2,2.37,13.041,7.953,3.007,0.964,0.438,8.805,10.642,10.096,10.108,0.26,0.164,10.099,0.52,11.589,-2.73,0.844,1.0,3.106,0.021,0.031,0.044,0.047,0.06
277,3.282,92.134,14.939,11.765,13.157,8.377,19.82,0.2,21.978,4.243,42.664,0.8,3.138,1.306,3.291,2.447,3.952,1.488,9.739,11.06,10.132,10.12,0.226,0.241,10.134,0.48,4.344,1.279,0.722,4.4,3.104,0.049,0.007,0.017,0.029,0.018
278,1.259,74.478,26.703,21.484,19.002,24.485,32.663,0.2,0.075,0.935,46.907,0.4,2.825,4.154,8.996,2.379,4.793,3.101,9.047,13.258,10.083,10.026,0.585,0.407,10.1,0.58,15.624,3.082,1.857,3.4,3.096,0.12,0.071,0.05,0.115,0.068
279,0.328,37.117,9.646,5.65,9.867,12.87,13.728,0.16,0.296,1.146,28.702,0.2,2.991,3.095,2.637,1.784,2.561,2.052,9.67,10.61,10.156,10.181,0.214,0.16,10.158,0.58,0.253,-0.169,0.654,1.2,3.046,0.011,0.026,0.013,0.004,0.02
281,17.243,331.749,101.353,90.521,56.639,62.291,115.828,0.48,4.56,1.746,176.701,2.2,3.092,13.753,12.796,9.492,4.402,7.671,6.081,18.259,10.508,9.962,2.86,3.247,10.882,0.66,0.574,0.869,8.383,4.6,2.943,0.053,0.039,0.112,0.077,0.078
282,17.449,361.316,109.443,86.701,74.256,83.837,131.838,0.36,1.474,1.308,226.148,0.4,3.057,16.435,22.561,10.903,4.728,6.218,6.226,22.266,10.481,10.453,2.675,3.138,10.81,0.6,5.796,1.676,8.205,4.4,3.076,0.061,0.261,0.188,0.253,0.479
283,33.402,319.506,158.389,158.276,69.835,105.315,172.819,0.6,-0.753,0.17,225.099,0.2,3.101,15.941,11.517,8.51,0.617,11.303,4.233,21.845,10.369,9.619,3.675,3.511,10.988,0.56,1.873,1.232,11.4,2.8,3.084,0.658,0.227,0.328,0.407,0.334
284,48.0,241.173,123.2,122.369,40.953,47.418,129.699,0.48,0.38,0.503,123.438,4.8,3.051,6.098,1.38,1.184,1.503,6.952,6.759,25.869,10.547,9.612,3.546,2.968,11.116,0.52,6.201,2.212,11.357,4.4,3.115,0.246,0.365,0.515,0.513,0.332
285,27.712,267.369,113.601,100.121,57.386,91.493,127.014,0.46,-0.198,0.627,182.896,2.4,3.111,12.426,11.857,5.659,5.632,7.672,6.234,18.138,10.326,9.965,2.408,3.023,10.597,0.66,1.365,1.077,6.756,4.8,2.956,0.095,0.247,0.171,0.149,0.032
286,6.953,284.102,73.308,61.265,46.304,42.073,86.459,0.4,6.827,2.057,142.769,0.2,3.051,11.91,3.131,10.941,7.352,5.476,7.065,16.461,10.292,9.797,2.051,2.051,10.491,0.54,1.385,1.205,5.745,4.4,2.952,0.099,0.09,0.104,0.183,0.118
287,29.195,248.172,116.442,111.055,52.566,68.24,127.541,0.6,-0.5,0.428,170.569,5.0,3.078,8.282,5.287,1.784,4.168,1.061,4.818,21.818,10.189,9.521,3.645,4.431,10.809,0.64,1.312,1.218,10.572,5.0,2.899,0.237,0.398,0.127,0.197,0.129
288,17.118,374.628,154.287,128.004,80.797,81.13,173.787,0.36,0.346,0.994,224.695,0.2,2.941,31.227,15.592,2.484,1.751,5.537,5.013,26.862,10.608,9.625,4.311,4.052,11.434,0.52,3.143,1.62,14.246,4.0,3.144,0.487,0.236,0.512,0.176,0.258
290,14.76,278.449,79.65,57.725,59.176,85.387,98.873,0.56,1.317,1.278,195.987,2.2,3.124,14.035,8.362,8.79,8.247,4.773,6.825,15.184,10.35,10.164,1.92,2.583,10.523,0.58,-0.143,0.303,5.745,4.2,3.013,0.118,0.099,0.095,0.258,0.01
292,34.548,284.743,116.067,115.2,47.169,52.624,125.108,0.5,1.752,0.883,141.795,2.4,3.045,2.087,10.91,5.401,3.418,4.904,6.082,20.553,10.279,9.396,3.13,3.475,10.735,0.6,1.9,1.442,8.278,3.0,2.865,0.137,0.05,0.128,0.01,0.085
293,17.263,238.425,83.317,76.351,46.887,51.879,95.374,0.48,1.224,1.077,147.562,2.0,3.094,3.313,6.784,1.446,7.135,12.915,7.821,16.565,10.344,9.573,2.17,2.653,10.564,0.62,0.985,1.229,6.455,3.8,2.993,0.085,0.057,0.086,0.124,0.146
294,12.466,193.982,66.452,57.179,42.493,44.081,78.647,0.5,1.461,1.315,122.763,2.0,3.004,5.333,4.556,3.958,4.923,1.082,7.377,16.581,9.884,9.676,1.506,1.635,9.995,0.46,6.161,1.793,4.564,2.0,3.022,0.118,0.156,0.023,0.047,0.019
295,30.973,328.1,122.415,114.154,66.199,67.427,138.853,0.38,2.117,1.363,206.045,1.4,3.081,4.865,6.253,7.467,11.557,12.78,3.261,17.905,10.151,9.383,3.117,3.239,10.609,0.44,0.266,0.804,9.179,2.2,3.044,0.247,0.081,0.105,0.279,0.414
296,42.979,303.789,129.417,126.658,55.924,84.395,140.761,0.46,0.28,0.555,176.097,1.4,3.098,7.909,5.093,5.508,1.904,7.758,5.626,25.089,10.983,9.911,4.097,4.613,11.708,0.52,1.814,1.348,11.785,4.8,2.997,0.528,0.171,0.558,0.136,0.216
297,4.874,233.781,103.215,100.458,52.822,69.272,115.705,0.48,-0.202,0.379,162.574,2.4,3.078,4.837,5.026,6.178,6.945,5.266,5.827,17.29,10.449,9.879,2.775,3.549,10.805,0.66,-0.144,0.693,8.402,4.8,2.988,0.231,0.013,0.116,0.221,0.193
298,27.614,296.291,142.027,137.02,58.436,77.121,153.356,0.58,-0.144,0.357,171.752,2.6,3.0,6.898,2.489,10.662,4.862,6.172,5.079,22.202,11.042,9.749,4.06,4.563,11.751,0.54,0.588,0.963,12.437,2.6,3.027,0.253,0.276,0.353,0.297,0.063
299,9.366,255.625,115.248,115.283,50.526,65.834,125.634,0.42,0.036,0.376,152.483,1.4,3.036,12.281,5.904,3.654,2.418,3.783,4.931,23.767,10.987,9.534,4.59,4.52,11.889,0.52,1.355,1.409,14.88,2.6,3.106,0.145,0.493,0.355,0.435,0.335
301,43.644,296.809,139.103,136.238,54.619,63.481,149.242,0.34,0.179,0.457,161.516,0.2,3.0,22.375,7.379,8.449,9.158,9.391,6.118,19.548,9.984,9.416,2.501,2.774,10.286,0.48,2.816,1.387,7.613,3.4,3.071,0.44,0.35,0.572,0.117,0.291
302,8.948,294.943,100.86,92.595,58.75,66.807,116.427,0.44,1.006,0.999,166.338,2.2,2.983,11.006,3.041,15.969,4.694,2.791,5.87,20.087,10.747,10.008,3.358,3.702,11.25,0.5,1.032,1.179,10.558,2.2,3.085,0.226,0.377,0.267,0.363,0.064
303,51.826,334.795,164.833,166.869,68.623,90.887,178.283,0.48,-0.279,0.489,224.221,1.2,3.113,11.465,8.886,14.535,6.55,6.724,5.154,19.976,10.676,10.372,3.545,4.072,11.238,0.56,0.184,0.74,10.725,4.0,3.047,0.216,0.266,0.372,0.591,0.604
304,34.154,302.604,140.135,139.248,67.264,91.489,155.151,0.5,-0.262,0.386,205.833,2.8,3.069,4.555,10.432,1.367,3.84,9.635,4.551,26.79,10.896,9.87,4.547,4.406,11.789,0.44,2.845,1.575,13.959,2.8,3.066,0.185,0.183,0.546,0.638,0.625
306,25.248,205.805,92.861,88.214,41.605,44.711,101.585,0.38,0.191,0.771,124.178,1.0,3.026,2.032,1.306,5.064,1.767,13.896,6.808,19.942,10.15,10.041,2.144,2.034,10.369,0.48,7.539,2.107,7.277,4.0,3.161,0.082,0.207,0.273,0.225,0.145
307,26.472,244.136,98.006,85.431,53.96,71.148,111.618,0.48,0.251,0.886,173.731,0.4,3.131,7.578,17.272,3.026,4.845,8.068,2.288,19.474,10.693,10.149,3.011,2.513,11.101,0.64,1.435,0.469,8.305,4.4,2.954,0.06,0.352,0.152,0.177,0.074
308,23.756,321.044,135.814,121.767,75.765,102.101,155.148,0.54,0.016,0.794,235.303,4.8,3.087,11.129,12.433,8.526,11.127,13.322,0.327,21.705,10.795,9.471,4.488,4.609,11.673,0.52,0.337,0.834,12.86,5.0,2.934,0.268,0.376,0.46,0.229,0.332
309,11.289,241.144,117.554,117.873,52.398,65.778,128.489,0.4,-0.37,0.3,159.627,0.2,3.061,18.514,3.876,4.651,9.002,7.699,6.352,19.383,10.556,9.858,3.009,3.645,10.968,0.62,1.203,1.208,9.591,3.4,3.085,0.418,0.186,0.254,0.104,0.35
310,10.549,225.567,119.187,119.006,51.976,57.961,129.819,0.5,-0.209,0.07,131.314,2.6,2.864,3.973,3.129,2.875,2.976,6.763,5.479,21.245,10.609,9.195,3.9,5.281,11.29,0.62,-0.04,0.898,10.469,5.0,2.811,0.241,0.023,0.186,0.291,0.168
311,3.726,159.956,71.481,63.03,41.833,47.392,82.611,0.4,-0.574,0.627,128.292,0.4,3.07,7.982,14.667,4.903,1.123,5.946,6.478,18.087,10.255,9.981,2.237,2.569,10.491,0.6,1.908,1.131,6.978,3.6,3.062,0.06,0.162,0.091,0.109,0.015
312,27.368,417.641,152.624,135.188,87.218,113.496,175.354,0.48,0.733,0.963,270.928,2.8,3.061,16.307,17.859,9.223,10.8,11.111,5.216,22.429,10.704,9.766,4.28,3.76,11.512,0.48,1.201,1.305,13.673,3.2,3.107,0.627,0.951,0.259,0.282,0.52
313,21.062,226.554,94.383,89.393,46.873,60.343,105.172,0.42,0.386,0.686,144.013,2.4,3.063,9.072,3.445,6.887,4.077,1.945,6.731,20.25,10.334,9.818,2.463,2.075,10.618,0.54,5.653,2.106,7.838,5.0,3.056,0.272,0.306,0.199,0.14,0.295
314,13.552,391.847,111.68,94.27,71.31,83.959,132.121,0.38,3.088,1.398,224.667,1.2,3.088,10.908,8.887,8.97,3.784,17.601,6.086,19.13,10.534,9.996,3.111,3.1,10.975,0.5,0.612,1.043,9.963,2.0,3.112,0.124,0.316,0.548,0.439,0.595
315,28.235,208.362,114.565,106.506,48.555,68.64,124.241,0.52,-0.847,0.086,145.412,2.6,3.063,5.819,3.024,3.644,5.116,4.986,5.493,20.31,10.932,9.601,4.118,4.618,11.668,0.5,-0.08,1.006,11.158,2.6,2.905,0.364,0.234,0.07,0.385,0.155
316,20.292,269.624,104.32,100.387,58.705,70.969,119.415,0.32,0.153,0.764,178.922,0.2,3.09,23.039,4.014,8.258,10.253,6.997,7.249,18.917,10.429,9.95,2.561,3.564,10.733,0.76,0.923,0.99,8.003,5.0,3.02,0.13,0.261,0.237,0.22,0.173
317,9.348,237.197,112.931,109.872,57.514,97.055,126.472,0.46,-0.95,0.276,183.817,2.6,3.115,10.2,11.439,10.001,4.282,2.095,5.082,22.42,10.375,9.643,3.746,3.494,11.017,0.56,1.952,1.376,10.84,3.0,3.001,0.451,0.059,0.217,0.456,0.264
319,19.103,215.08,90.63,75.448,53.387,83.578,104.914,0.4,-0.769,0.537,158.83,2.4,3.018,9.317,8.153,1.177,12.784,10.346,5.675,19.297,10.378,10.025,3.201,3.416,10.851,0.64,0.645,1.096,8.784,5.0,2.828,0.077,0.136,0.198,0.141,0.031
320,19.485,313.37,102.665,85.294,66.593,61.241,122.008,0.42,1.088,1.231,193.272,0.4,2.979,12.575,19.91,15.515,3.603,4.237,7.036,18.42,10.532,10.05,2.644,2.609,10.852,0.54,1.365,1.292,8.182,4.4,3.069,0.077,0.249,0.079,0.089,0.239
321,52.01,323.35,160.811,158.284,63.346,88.358,172.606,0.54,-0.354,0.34,190.401,3.0,3.037,8.878,4.863,0.934,10.769,6.636,4.289,25.271,11.15,10.525,4.372,3.557,11.961,0.44,1.711,1.231,12.97,1.4,3.031,0.207,0.313,0.095,0.711,0.337
322,24.71,192.161,91.94,83.66,44.966,60.882,102.149,0.42,-0.627,0.502,137.859,2.2,3.081,7.2,5.448,8.278,3.872,10.443,5.316,16.823,10.539,9.897,2.922,3.552,10.928,0.7,-0.574,0.517,8.267,4.6,2.956,0.037,0.098,0.189,0.148,0.183
323,25.648,225.696,106.627,97.142,52.054,65.468,118.426,0.54,-0.558,0.494,166.793,2.2,3.117,5.823,5.629,9.519,1.473,5.982,6.425,18.996,10.252,9.373,3.008,2.794,10.676,0.56,1.574,1.441,9.647,5.0,3.068,0.047,0.207,0.145,0.27,0.354
324,15.092,250.937,97.027,90.391,54.065,70.456,110.81,0.52,0.069,0.754,181.065,5.0,3.136,10.725,6.726,5.332,7.777,8.183,6.315,15.117,10.249,10.163,2.078,2.926,10.453,0.58,-0.409,0.255,6.421,4.2,3.071,0.102,0.129,0.054,0.098,0.189
325,16.119,264.254,99.181,87.862,54.408,58.39,112.862,0.44,0.96,0.965,166.286,3.0,3.064,12.931,4.066,8.389,2.36,7.254,6.136,18.481,10.28,9.625,2.797,3.173,10.647,0.72,0.592,1.028,8.765,5.0,3.039,0.226,0.048,0.239,0.073,0.236
326,28.699,299.616,118.735,115.594,54.308,57.82,130.34,0.44,1.373,0.954,168.883,2.6,3.08,13.517,12.99,6.665,3.833,3.704,6.558,19.882,10.48,9.812,3.225,3.5,10.956,0.66,0.601,1.099,8.846,5.0,2.8,0.038,0.057,0.151,0.155,0.179
327,10.785,251.824,89.456,75.196,52.721,64.882,103.568,0.44,0.851,1.034,164.427,2.2,3.06,8.311,11.83,5.534,7.106,8.908,5.759,22.801,10.507,9.996,2.752,2.764,10.855,0.48,6.258,1.922,8.364,3.0,3.048,0.474,0.294,0.081,0.443,0.283
328,48.351,295.655,161.777,161.341,62.13,80.461,173.075,0.58,-0.644,0.182,198.52,5.0,3.054,4.004,4.241,6.258,9.624,10.404,4.474,24.383,11.158,10.183,4.295,4.707,11.941,0.52,1.583,1.179,12.203,3.0,3.0,0.32,0.253,0.511,0.539,0.777
329,35.4,366.963,156.043,148.524,72.839,112.349,171.898,0.42,0.469,0.781,209.953,0.2,3.002,25.288,7.749,18.626,4.637,8.475,5.779,25.077,11.523,10.176,4.584,3.905,12.384,0.44,1.234,1.338,13.053,1.2,2.958,0.582,1.085,0.935,0.271,0.174
330,18.139,262.024,114.984,103.453,55.698,80.842,127.521,0.42,-0.189,0.596,169.638,2.2,3.048,3.853,3.648,5.284,5.047,10.499,5.538,23.592,10.806,9.221,4.466,4.373,11.675,0.6,1.693,1.549,12.527,5.0,2.812,0.351,0.012,0.092,0.23,0.029
331,23.444,305.86,114.528,114.328,62.135,94.64,130.001,0.44,0.291,0.515,201.49,5.0,3.091,17.571,11.248,4.195,16.66,6.962,4.461,20.849,11.007,10.34,3.516,3.064,11.544,0.46,0.909,1.06,11.054,4.8,3.081,0.175,0.653,0.198,0.269,0.352
332,12.592,380.623,144.216,144.483,70.897,89.849,160.388,0.44,1.326,0.624,225.32,0.4,3.091,7.11,20.494,7.73,9.216,12.779,5.481,54.057,12.062,10.357,7.101,5.838,13.961,0.48,22.617,4.236,23.172,4.2,3.143,0.965,0.793,0.695,0.843,0.523
333,34.775,214.795,105.844,100.381,36.145,36.734,111.729,0.58,0.746,0.375,112.615,4.4,3.08,4.93,5.109,0.572,3.353,3.195,4.52,22.036,10.443,8.592,4.446,4.471,11.332,0.5,1.142,1.359,14.187,3.0,3.111,0.175,0.372,0.582,0.636,0.574
334,15.95,255.198,113.39,106.779,56.533,64.662,126.449,0.28,-0.016,0.528,163.568,0.2,3.019,23.22,11.874,8.386,12.518,9.628,4.893,25.734,10.352,9.896,3.73,3.077,10.991,0.52,4.574,1.823,11.489,3.8,3.076,0.353,0.094,0.356,0.665,0.864
335,35.729,268.163,120.617,112.973,52.712,64.043,131.421,0.48,0.359,0.718,156.995,2.2,3.009,3.608,7.291,4.013,1.077,6.956,4.527,21.664,11.096,9.95,4.018,3.968,11.787,0.52,0.6,1.14,11.621,4.6,2.988,0.142,0.533,0.244,0.201,0.374
337,28.967,290.519,98.151,86.306,52.532,80.38,111.077,0.46,1.87,1.142,162.319,1.6,3.048,9.284,2.462,7.615,9.018,9.931,6.195,20.75,10.888,9.88,3.593,3.395,11.454,0.66,0.861,1.197,10.832,4.4,3.053,0.189,0.129,0.239,0.219,0.315
338,8.108,234.925,80.694,65.255,58.624,92.584,99.396,0.32,-0.194,0.813,176.011,0.2,3.055,21.426,11.299,4.654,11.429,10.97,4.398,19.262,10.329,9.997,2.458,2.265,10.612,0.56,3.092,1.163,7.994,4.8,3.139,0.291,0.277,0.225,0.212,0.237
340,8.45,213.417,74.314,61.649,44.549,39.025,86.415,0.34,1.816,1.369,136.384,2.4,3.064,4.72,3.227,8.337,6.187,4.784,7.809,15.786,10.443,10.342,1.538,1.594,10.554,0.5,2.458,1.212,4.648,1.2,3.034,0.194,0.095,0.229,0.195,0.136
341,22.625,244.415,115.311,113.623,54.53,83.58,127.321,0.46,-0.844,0.226,161.203,2.4,3.026,0.396,2.612,5.324,3.457,9.583,5.74,21.899,10.824,9.4,4.167,5.301,11.584,0.6,0.3,1.12,11.157,4.6,2.891,0.153,0.092,0.044,0.146,0.066
342,32.018,238.049,119.594,106.194,59.541,98.709,133.33,0.44,-0.896,0.474,177.997,2.4,3.038,4.142,11.132,2.311,3.194,16.73,6.226,20.311,10.495,9.435,3.435,3.145,11.032,0.58,0.589,1.168,10.375,5.0,2.995,0.242,0.133,0.182,0.193,0.209
343,8.695,243.231,71.773,63.622,43.596,47.051,83.75,0.42,3.693,1.621,132.511,2.0,3.057,2.702,11.829,7.45,8.223,2.549,5.776,15.085,10.367,10.32,1.541,1.483,10.478,0.5,2.295,0.508,4.952,4.4,3.119,0.261,0.193,0.074,0.203,0.115
345,21.468,360.111,165.988,160.814,75.788,110.429,182.156,0.42,-0.26,0.389,226.654,0.8,3.016,17.113,10.237,3.652,17.547,14.727,3.332,21.155,10.082,9.496,3.594,3.041,10.692,0.38,1.891,1.302,11.564,3.0,3.124,0.437,0.464,0.793,0.771,0.349
346,24.88,211.327,112.309,104.232,46.97,62.866,121.554,0.46,-0.693,0.429,147.065,5.0,3.037,8.147,7.557,5.706,4.151,3.312,5.709,18.315,10.519,9.458,3.28,4.459,11.009,0.48,-0.478,0.66,10.451,2.2,3.099,0.097,0.186,0.364,0.184,0.49
348,11.732,175.042,69.487,62.278,36.764,40.25,78.441,0.42,1.01,0.936,113.559,2.2,3.064,8.116,4.974,5.097,5.343,2.373,6.805,15.262,10.422,10.185,1.649,1.647,10.549,0.6,0.824,0.779,4.946,4.0,3.05,0.089,0.183,0.1,0.061,0.122
