,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
88,7.537,231.511,66.115,56.359,43.398,50.232,78.848,0.42,3.267,1.569,141.991,0.6,3.12,8.092,7.409,9.019,8.207,3.119,5.943,16.699,10.298,10.161,1.998,2.065,10.486,0.54,1.222,0.643,6.445,4.6,3.095,0.127,0.017,0.207,0.265,0.124
90,9.439,111.239,48.235,37.563,28.022,38.242,55.643,0.36,-0.435,0.751,84.207,1.0,3.033,1.278,5.361,2.622,1.66,8.374,6.381,13.957,10.461,10.3,1.763,2.143,10.605,0.56,-0.276,-0.092,5.65,3.4,3.085,0.25,0.203,0.088,0.045,0.148
91,8.344,57.196,28.079,25.988,11.683,16.831,30.368,0.42,-0.607,0.329,36.058,1.4,3.069,2.197,0.743,2.601,1.119,1.711,7.73,12.871,9.98,9.889,0.981,1.157,10.027,0.6,0.527,0.483,3.1,1.4,3.073,0.029,0.034,0.059,0.076,0.141
92,6.132,96.643,43.242,37.512,22.977,40.887,48.86,0.42,-0.922,0.398,67.249,0.6,3.016,3.228,7.124,7.468,2.412,1.395,4.586,14.879,10.156,10.064,2.123,2.793,10.371,0.66,0.091,-0.115,6.605,5.0,3.017,0.132,0.262,0.205,0.061,0.147
93,7.429,180.351,55.3,48.109,29.394,37.369,62.488,0.44,4.608,1.549,91.319,2.0,3.086,3.664,4.15,3.503,7.838,4.834,7.594,13.033,10.158,9.987,1.478,2.365,10.263,0.5,-0.951,0.233,4.74,3.4,3.108,0.248,0.18,0.104,0.296,0.176
94,8.362,129.58,45.01,34.344,31.816,40.107,54.936,0.3,0.089,0.995,95.416,1.0,3.048,6.542,6.265,7.593,7.083,10.206,5.615,16.907,10.12,10.332,2.054,1.855,10.322,0.7,1.379,0.193,5.671,4.8,2.969,0.066,0.035,0.045,0.127,0.233
95,10.739,104.533,50.423,45.826,23.879,36.537,55.689,0.32,-0.673,0.36,67.628,0.2,2.962,8.125,3.317,6.25,5.722,0.973,5.882,14.463,10.086,10.244,1.996,2.536,10.277,0.72,-0.42,0.145,5.867,4.6,2.993,0.019,0.092,0.177,0.166,0.054
96,7.122,122.558,46.401,36.263,30.709,47.584,55.473,0.22,-0.582,0.728,85.249,0.4,2.949,7.439,11.93,8.064,2.563,5.753,7.412,12.696,10.165,10.253,1.18,1.521,10.232,0.48,-0.298,-0.219,3.734,1.8,3.105,0.091,0.14,0.112,0.283,0.108
97,13.446,178.531,66.798,54.629,40.546,47.351,77.93,0.3,-0.02,0.898,116.313,0.2,2.993,17.689,1.428,7.801,5.379,3.671,5.107,18.746,10.088,9.964,2.613,1.976,10.415,0.64,1.885,0.846,7.886,3.6,3.009,0.052,0.146,0.028,0.119,0.207
98,1.735,79.422,26.067,20.87,15.895,17.597,30.448,0.46,1.29,1.221,49.675,1.4,3.083,2.164,1.98,3.005,3.405,0.819,7.337,12.731,10.42,10.223,1.241,1.85,10.492,0.42,-0.456,-0.098,4.104,5.0,3.118,0.164,0.096,0.111,0.22,0.235
99,10.022,108.053,45.103,38.954,25.252,34.142,51.568,0.38,-0.138,0.775,70.769,0.4,2.938,5.643,7.755,4.836,1.927,6.042,6.339,13.937,10.289,10.359,1.672,2.302,10.421,0.5,-0.264,0.214,5.123,4.0,3.045,0.029,0.148,0.15,0.112,0.194
101,7.124,156.25,37.822,28.922,27.575,22.684,46.644,0.24,5.646,2.15,83.146,0.6,3.029,6.885,6.613,7.595,2.704,2.876,7.719,12.805,10.056,9.961,1.009,1.106,10.106,0.52,0.81,0.718,3.195,4.6,3.103,0.154,0.103,0.04,0.081,0.096
102,9.746,206.587,55.866,41.699,44.475,39.897,71.13,0.4,3.412,1.881,142.293,1.2,3.109,0.847,5.265,7.009,6.701,7.831,2.873,15.061,10.427,10.333,2.269,2.209,10.667,0.64,1.29,-0.356,7.121,2.8,3.076,0.164,0.101,0.212,0.181,0.289
103,10.04,135.01,44.672,42.372,27.428,35.618,52.276,0.46,2.157,1.284,84.454,0.2,3.074,9.092,4.893,6.047,5.139,1.781,7.362,15.043,10.154,10.14,1.54,1.528,10.268,0.62,0.941,0.64,4.617,4.2,3.026,0.08,0.069,0.011,0.091,0.174
104,5.154,135.9,32.568,23.587,27.399,28.178,42.384,0.2,5.378,2.191,76.566,0.2,2.973,10.253,8.32,3.86,6.493,2.369,8.042,12.471,10.243,10.044,1.116,1.411,10.302,0.52,-0.638,0.03,3.51,3.6,3.096,0.078,0.244,0.065,0.027,0.171
107,2.657,62.343,25.741,21.655,14.32,19.527,29.386,0.38,-0.403,0.594,44.507,0.4,3.083,2.738,3.741,1.901,1.978,1.089,6.593,11.168,9.74,9.832,0.896,1.028,9.781,0.5,1.673,-0.984,2.878,3.0,3.096,0.055,0.11,0.032,0.095,0.205
109,13.818,100.747,50.803,47.642,21.924,32.771,55.245,0.38,-0.58,0.455,68.441,1.4,3.084,5.685,1.149,2.98,1.652,1.57,7.02,14.024,10.526,10.719,1.755,2.484,10.668,0.58,-0.703,-0.144,5.278,2.6,3.046,0.156,0.213,0.135,0.188,0.122
110,5.433,132.452,57.953,53.509,35.332,51.26,67.69,0.44,-0.723,0.557,107.614,2.0,3.071,3.947,4.742,5.228,4.006,5.231,6.213,15.103,10.36,10.095,1.817,2.45,10.515,0.52,0.456,0.518,5.478,3.2,3.021,0.199,0.118,0.239,0.189,0.102
111,17.398,310.545,97.131,78.387,63.508,58.466,115.702,0.4,1.521,1.362,203.868,0.4,3.088,6.917,15.248,8.673,14.159,15.153,4.208,18.563,10.396,9.802,2.913,2.582,10.788,0.64,0.783,0.793,8.404,4.6,3.011,0.1,0.12,0.086,0.207,0.447
