cattle_id,timestamp,label,ax,ay,az,gx,gy,gz
goat02,19001,walking,0.0311483,-6.43571,-4.95737,38.1707,-38.3537,-28.5976
goat02,19101,walking,1.20759,-11.4266,-5.02206,-44.6341,-119.207,-12.1951
goat02,19201,walking,3.97021,-8.46514,-7.82061,18.9024,-116.646,-51.0976
goat02,19301,walking,2.34091,-7.06826,-7.13295,-45.6707,-63.9634,-176.098
goat02,19401,walking,-1.77785,-5.70253,-5.16822,-25.6098,70.4268,6.76829
goat02,19501,walking,6.19851,-9.29416,-5.27364,-95.4268,78.6585,112.927
goat02,19601,walking,2.95909,-11.6495,-4.91424,61.7683,104.39,121.098
goat02,19701,walking,-0.941636,-7.42048,-4.11636,69.878,-5.36585,-99.1463
goat02,19801,walking,-1.59815,-21.5067,-10.243,124.756,-25.8537,84.2073
goat02,19901,walking,8.00271,-3.28734,-10.3197,60.3049,-262.683,-13.6585
goat02,20001,walking,2.91356,-6.6226,-5.56356,-85.9146,28.8415,-117.195
goat02,20101,walking,-1.26031,-4.32721,-4.2769,-95.9756,31.7683,17.0122
goat02,20201,walking,5.90859,-10.8061,-6.80949,-73.6585,84.2073,109.329
goat02,20301,walking,2.57812,-9.33969,-5.90379,75,133.476,175.549
goat02,20401,walking,0.230018,-8.23991,-4.32002,55.6707,8.71951,-81.3415
goat02,20501,walking,-0.450452,-7.77748,-6.94367,70.9146,-37.1341,15.1829
goat02,20601,walking,3.58445,-2.87762,-6.07631,-24.3293,-190.549,-126.098
goat02,20701,walking,4.36315,-5.93973,-7.8901,-34.878,-46.0366,-45.7927
goat02,20801,walking,-0.682866,-6.33987,-6.5603,-20.3049,38.5366,-29.5122
goat02,20901,walking,1.11415,-8.16324,-6.83824,-1.82927,-39.5732,57.6829
goat02,21001,walking,3.34005,-4.92861,-6.06912,-68.1707,70.3659,-6.52439
goat02,21101,walking,1.40886,-9.9363,-5.77681,-11.7683,70.7927,84.8171
goat02,21201,walking,1.13092,-8.37649,-4.69141,36.7683,50.8537,11.7073
goat02,21301,walking,-0.685262,-6.73042,-5.80556,25.8537,-4.02439,1.58537
goat02,21401,walking,3.57726,-7.15452,-3.7953,-93.5976,-27.378,-5.85366
goat02,21501,walking,3.52455,-10.7438,-7.36297,-38.2317,-84.6951,6.28049
goat02,21601,walking,-0.136573,-5.30719,-6.61062,-15.4268,-11.2195,-114.024
goat02,21701,walking,-1.92161,-7.32943,-7.42048,-4.93902,-9.57317,49.6951
goat02,21801,walking,0.498372,-3.90551,-3.68748,-98.2927,35.3049,54.878
goat02,21901,walking,0.354611,-8.57057,-5.88942,10.9146,-1.46341,45.1829
goat02,22001,walking,0.814647,-7.81582,-4.46858,56.5854,20.7927,-80.1829
goat02,22101,walking,-1.49751,-9.98182,-5.66659,30.9146,23.6585,34.2073
goat02,22201,walking,-0.431284,-4.53567,-7.53788,-22.622,-95.8537,-109.451
goat02,22301,walking,1.44959,-5.45095,-7.48277,-52.2561,-75.7927,27.7439
goat02,22401,walking,3.04055,-7.61455,-4.28169,-29.3902,43.6585,-46.2195
goat02,22501,walking,0.361799,-5.41261,-5.98526,19.4512,-55.122,-96.7073
goat02,22601,walking,0.107821,-6.09308,-3.81686,-84.4512,223.902,110.976
goat02,22701,walking,3.09566,-10.0034,-4.2146,-66.4024,79.0244,127.439
goat02,22801,walking,0.65651,-7.87332,-5.90379,130.305,27.2561,-104.878
goat02,22901,walking,1.22197,-4.54046,-7.1066,34.2073,14.0244,22.0122
goat02,23001,walking,0.773915,-3.70664,-4.11157,-62.3171,-123.293,-94.8171
goat02,23101,walking,8.37649,-9.50981,-6.27039,0.243902,-48.9634,-100.61
goat02,23201,walking,-1.9839,-4.71776,-6.71365,-74.3293,158.78,-12.9878
goat02,23301,walking,-1.99109,-22.2183,-12.1838,11.3415,-142.439,224.451
goat02,23401,walking,11.9633,-5.899,-12.4234,-14.0854,83.9634,37.3171
goat02,23501,walking,1.56221,-9.20072,-4.57161,83.8415,-32.378,-78.7195
goat02,23601,walking,-0.646926,-3.62039,-2.80095,55.122,14.0854,-72.2561
goat02,23701,walking,2.09652,-13.9472,-6.65854,-72.622,-144.756,6.28049
goat02,23801,walking,8.39086,-5.78639,-10.7462,47.1341,-142.317,-20.6098
goat02,23901,walking,-1.72753,-6.93648,-6.55551,-128.415,131.22,-69.3902
goat02,24001,walking,0.0527125,-15.1309,-10.3268,-29.0854,-108.659,183.598
goat02,24101,walking,9.02581,-7.25036,-7.82061,74.0244,45.6098,78.7195
goat02,24201,walking,0.824231,-7.95479,-5.75764,61.2195,13.7195,-54.0854
goat02,24301,walking,-0.601401,-5.2377,-3.59643,29.8171,-8.23171,-16.4634
goat02,24401,walking,0.745162,-16.6116,-4.65068,1.95122,-90.7927,23.2927
goat02,24501,walking,6.91252,-6.67531,-5.79837,35.5488,-111.951,3.78049
goat02,24601,walking,1.51189,-5.12988,-6.03078,-78.2927,-60.9756,-189.939
goat02,24701,walking,-1.73711,-4.45181,-4.217,-62.8659,19.2683,35.3659
goat02,24801,walking,6.29914,-9.68711,-4.67464,-105,99.7561,128.537
goat02,24901,walking,1.95755,-7.87332,-5.2353,69.939,92.7439,179.634
goat02,25001,walking,-0.699638,-7.80623,-4.37753,62.7439,17.7439,-113.659
goat02,25101,walking,-0.646926,-9.76618,-9.56731,57.561,23.5976,105.549
goat02,25201,walking,5.08436,-2.71469,-5.42699,19.0244,-85.9756,-56.7683
goat02,25301,walking,3.68029,-5.4773,-6.79991,-22.9878,-33.0488,-86.6463
goat02,25401,walking,-1.94796,-4.37034,-5.58033,-73.6585,93.7805,-20.3659
goat02,25501,walking,2.8872,-21.6193,-13.9089,-10.4878,-39.5122,237.683
goat02,25601,walking,7.60497,-5.94932,-10.1256,34.5122,102.134,93.3537
goat02,25701,walking,1.49751,-10.0178,-5.65461,119.512,1.95122,-66.2805
goat02,25801,walking,-0.922468,-5.058,-6.16736,57.2561,29.939,-51.0976
goat02,25901,walking,0.649322,-5.30719,-4.65307,-76.0366,-125.488,5.18293
goat02,26001,walking,6.79032,-8.37409,-7.94041,-8.65854,-42.9878,-58.9024
goat02,26101,walking,-0.596609,-5.68336,-8.24231,-46.7073,89.878,-95.1829
goat02,26201,walking,-0.802667,-4.55963,-5.8415,-43.4756,-5.54878,19.5732
goat02,26301,walking,1.9264,-5.76722,-6.45009,-125.244,125.732,18.3537
goat02,26401,walking,2.1684,-7.47558,-3.13879,32.8049,85.061,81.4024
goat02,26501,walking,-0.0646926,-7.46121,-5.14665,80.1829,-26.6463,-66.9512
goat02,26601,walking,0.131781,-7.82061,-6.81907,12.622,-36.7073,105.244
goat02,26701,walking,2.65479,-4.81121,-4.42545,-71.4634,-138.049,-61.7073
goat02,26801,walking,2.60208,-8.39086,-7.50913,-30.7317,-103.11,-41.7073
goat02,26901,walking,-0.620569,-6.19371,-7.67925,-29.6951,38.4146,-71.7073
goat02,27001,walking,-1.25791,-5.22332,-4.78725,-41.5854,-9.57317,30.2439
goat02,27101,walking,1.97672,-9.9962,-7.89489,-31.3415,59.3293,125.488
goat02,27201,walking,2.05818,-11.8771,-4.4542,21.4024,107.012,120.366
goat02,27301,walking,0.888924,-9.29656,-4.54285,61.7073,-14.0854,-74.7561
goat02,27401,walking,-1.94078,-6.57228,-5.49168,49.3293,47.622,-2.62195
goat02,27501,walking,-0.769123,-3.47902,-5.74326,-11.0976,-119.756,-71.8293
goat02,27601,walking,2.45352,-7.06586,-8.46514,-50,-82.1951,91.5854
goat02,27701,walking,-1.63888,-4.93341,-7.03232,-69.6341,56.5244,-100.671
goat02,27801,walking,-2.07016,-14.7259,-14.2276,35.2439,-98.6585,40.061
goat02,27901,walking,-0.783499,-5.8391,-6.24643,-1.40244,-19.3293,80.4878
goat02,28001,walking,1.57179,-7.48038,-3.98698,88.1707,-10.2439,32.3171
goat02,28101,walking,-0.829023,-8.90361,-4.97653,16.7073,66.5244,-6.46341
goat02,28201,walking,-2.72428,-5.97807,-5.61388,-41.0366,-31.0366,-99.3293
goat02,28301,walking,-1.07581,-5.73368,-9.99859,-119.695,-162.256,12.5
goat02,28401,walking,-1.48793,-6.01641,-6.0212,-162.195,-28.7805,-48.4146
goat02,28501,walking,-2.01985,-11.7333,-13.0008,37.439,-35.4268,46.0366
goat02,28601,walking,-1.07342,-6.48842,-7.19525,10.3659,113.659,23.7805
goat02,28701,walking,-0.184494,-7.41808,-4.89986,91.3415,18.9634,34.2073
goat02,28801,walking,-0.651718,-7.29828,-4.97414,115.122,24.3293,-82.8049
goat02,28901,walking,-0.824231,-11.5225,-4.36315,-7.31707,-56.5244,28.4146
goat02,29001,walking,0.678074,-6.06672,-7.69362,-10.122,-211.463,-47.9268
goat02,29101,walking,1.3274,-7.9452,-7.42527,-98.7195,55.7317,-12.561
goat02,29201,walking,0.725994,-12.4306,-7.86614,14.2683,-54.6951,-113.049
goat02,29301,walking,-0.345027,-4.90705,-6.42373,7.62195,76.2195,3.90244
goat02,29401,walking,8.15366,-11.1199,-2.33852,2.0122,82.7439,90.7317
goat02,29501,walking,-0.0982368,-8.54661,-5.10832,122.378,61.2805,-57.2561
goat02,29601,walking,0.785895,-6.69927,-5.68336,-10.2439,-155.793,-38.8415
goat02,29701,walking,8.18481,-7.2264,-5.19218,-56.5854,-91.0366,-111.951
goat02,29801,walking,2.42238,-6.34227,-5.542,-20.3049,-90.061,-143.476
goat02,29901,walking,-0.793083,-4.68901,-4.91663,-5.67073,79.939,96.5244
goat02,30001,walking,9.78056,-12.4401,-7.14014,-1.70732,-65.061,62.3171
goat02,30101,walking,1.38011,-5.15624,-5.36469,-10.122,-25.4268,16.2195
goat02,30201,walking,-0.737974,-7.42766,-4.20981,-3.78049,2.80488,-15.6707
goat02,30301,walking,1.3873,-8.57536,-5.72409,89.1463,23.6585,2.2561
goat02,30401,walking,0.75235,-13.3315,-10.3149,22.5,-66.2195,46.9512
goat02,30501,walking,3.34724,-5.7816,-5.20655,30.9146,-89.939,-70.7317
goat02,30601,walking,4.03729,-5.86067,-5.52522,-44.3293,-72.561,-135.488
goat02,30701,walking,-0.946428,-3.78811,-5.4174,-51.0976,120.305,50.3049
goat02,30801,walking,2.65958,-13.5495,-6.39977,-81.2195,219.024,194.573
goat02,30901,walking,3.48381,-11.0145,-3.55569,16.4634,103.841,152.744
goat02,31001,walking,1.54064,-8.81017,-5.76003,134.573,-48.3537,-88.7195
goat02,31101,walking,1.22197,-5.22572,-6.982,37.9878,-2.86585,26.9512
goat02,31201,walking,1.30344,-4.41107,-3.89593,-69.5122,-156.951,-96.6463
goat02,31301,walking,4.23137,-8.07219,-6.45728,-11.2195,-111.341,-122.5
goat02,31401,walking,-1.68201,-3.97739,-6.34706,-64.1463,76.7073,-39.3293
goat02,31501,walking,2.07016,-17.7737,-4.98851,-126.463,111.341,188.354
goat02,31601,walking,4.71537,-11.8747,-1.8665,-35.3659,134.085,117.134
goat02,31701,walking,1.15488,-8.77662,-5.49647,132.866,-88.5976,-118.415
goat02,31801,walking,-0.321067,-5.36709,-4.86632,54.5122,-7.0122,-40.2439
goat02,31901,walking,2.37685,-5.32396,-5.09394,-112.622,-200.244,-90.9146
goat02,32001,walking,8.86528,-8.54181,-10.1879,4.7561,-99.6341,15
goat02,32101,walking,-2.14444,-7.00836,-7.25275,-69.939,67.1341,-88.2317
goat02,32201,walking,0.888924,-14.4288,-10.5688,-4.45122,-153.659,59.3902
goat02,32301,walking,5.45813,-4.66266,-5.25687,-5.85366,-30.122,37.622
